Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0003	s_0035 + s_1198  <=> s_0020 + s_0794 + s_1203 	Hanpo2_24530	-1000.00	1000.00	  0.00
r_0005	s_1543  -> s_0001 + s_0794 + s_1538 	Hanpo2_15687 or Hanpo2_75503 or Hanpo2_93573 or Hanpo2_15687 or Hanpo2_75503 or Hanpo2_93573 or Hanpo2_15687 or Hanpo2_75503 or ( Hanpo2_93573 and Hanpo2_85337 ) or Hanpo2_87824	  0.00	1000.00	  0.00
r_0006	s_1543  -> s_0004 + s_0794 + s_1538 	Hanpo2_15039	  0.00	1000.00	  0.00
r_0007	s_0077  -> s_0312 	Hanpo2_76992	  0.00	1000.00	  0.00
r_0012	s_0119 + 2 s_0807 + s_1200  <=> s_0799 + s_0993 + s_1205 	Hanpo2_101511	-1000.00	1000.00	  0.00
r_0013	s_0311 + 3 s_0803  -> s_0294 + s_0722 + 6 s_0794 + s_1322 	Hanpo2_77236 and Hanpo2_16006	  0.00	1000.00	  0.00
r_0014	s_0142 + s_0794 + s_0803  -> s_0313 + s_0419 	Hanpo2_82845	  0.00	1000.00	  0.00
r_0015	s_0141 + s_0794 + s_1212  -> s_0142 + s_1207 	Hanpo2_82246	  0.00	1000.00	  0.00
r_0016	s_0179 + s_0799 + s_1401  -> s_0039 + s_0460 	( Hanpo2_15610 and Hanpo2_15448 ) or Hanpo2_15448	  0.00	1000.00	  0.00
r_0017	s_0148 + s_0437  -> s_0006 + s_0424 + s_0799 	Hanpo2_38767	  0.00	1000.00	  0.00
r_0018	s_0176 + s_0991  <=> s_0180 + s_0953 	Hanpo2_100208 or Hanpo2_15646 or Hanpo2_17449 or Hanpo2_81781 or Hanpo2_98096	-1000.00	1000.00	  0.00
r_0019	s_0149 + s_0794 + s_1212  -> s_0030 + s_1207 	Hanpo2_100410	  0.00	1000.00	  0.00
r_0020	s_0552 + s_0807 + s_1361  -> s_0350 + s_1326 	Hanpo2_50451 or Hanpo2_82913	  0.00	1000.00	  0.00
r_0023	s_0165 + s_0803  <=> s_0162 	Hanpo2_81353	-1000.00	1000.00	  0.00
r_0024	s_0232 + s_0373 + s_0803  -> s_0162 + s_0529 + s_0794 	Hanpo2_17174 or Hanpo2_95776	  0.00	1000.00	  0.00
r_0025	s_0233 + s_0376 + s_0807  -> s_0164 + s_0532 + s_0799 	Hanpo2_17174 or Hanpo2_95776	  0.00	1000.00	  0.00
r_0026	s_0294 + s_0991  -> s_0180 + s_1029 	Hanpo2_15169 or Hanpo2_17449 or Hanpo2_98096	  0.00	1000.00	  0.00
r_0027	s_0834  <=> s_0454 + s_0807 	Hanpo2_91171	-1000.00	1000.00	  0.00
r_0028	s_0807 + s_1273 + s_1382  -> s_0174 + s_0532 + s_0799 	Hanpo2_16058	  0.00	1000.00	  0.00
r_0029	s_0010 + s_0794  -> s_0291 + s_0456 	Hanpo2_15169	  0.00	1000.00	  0.00
r_0030	s_0011 + s_0799  -> s_0292 + s_0460 	Hanpo2_15169	  0.00	1000.00	  0.00
r_0032	s_0390 + s_0803  -> s_0423 + s_1322 	Hanpo2_92522	  0.00	1000.00	  0.00
r_0038	s_0577  -> s_0158 + s_0722 + s_0794 	Hanpo2_25583	  0.00	1000.00	  0.00
r_0039	s_0210  -> s_0211 + s_0803 	Hanpo2_15984	  0.00	1000.00	  0.00
r_0040	s_0349  -> s_0210 + s_1322 	Hanpo2_15984	  0.00	1000.00	  0.00
r_0041	s_0231 + 2 s_0795 + s_1213  -> s_1208 + s_1445 	Hanpo2_97665	  0.00	1000.00	  0.00
r_0042	s_0551 + s_0803 + s_1360  -> s_0349 + s_1322 	Hanpo2_50451 or Hanpo2_82913	  0.00	1000.00	  0.00
